               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03623,            0.027377,             0.31537,           0.0033949,             0.14175,           0.0068681,           0.0022477,            0.010944,            0.012562,             0.14305,            0.070117,           0.0033203,           0.0033203
                   1,            0.028109,             0.02462,             0.30789,           0.0093748,             0.83333,            0.026275,            0.015761,           0.0096119,           0.0035067,              0.1428,            0.040099,           0.0066356,           0.0066356
                   2,            0.025328,            0.024571,             0.31265,             0.62681,            0.034475,            0.032044,             0.02179,           0.0099292,           0.0040476,             0.14215,            0.010009,            0.009879,            0.009879
                   3,            0.023589,            0.021085,             0.31103,             0.77822,            0.061118,            0.070888,            0.050966,           0.0062331,           0.0035896,             0.14169,           0.0097577,           0.0097577,           0.0097577
                   4,            0.020936,            0.021341,             0.30305,             0.66151,            0.079059,             0.09009,            0.061247,           0.0060539,           0.0032291,             0.14122,           0.0097577,           0.0097577,           0.0097577
                   5,            0.020454,            0.020325,             0.31353,             0.66876,             0.12995,             0.12012,            0.081285,           0.0061718,           0.0038475,             0.14095,           0.0095721,           0.0095721,           0.0095721
                   6,            0.019671,            0.020448,             0.31418,               0.621,             0.12476,             0.13552,            0.079311,            0.007611,           0.0035034,             0.14075,           0.0093368,           0.0093368,           0.0093368
                   7,            0.017539,             0.01831,             0.30362,             0.68367,             0.13833,             0.14949,             0.09889,           0.0065795,           0.0032007,             0.14049,           0.0090546,           0.0090546,           0.0090546
                   8,            0.016841,            0.017567,             0.30094,             0.68076,             0.14939,             0.15537,             0.12352,           0.0049738,           0.0031032,             0.14035,           0.0087286,           0.0087286,           0.0087286
                   9,            0.016463,            0.018676,             0.30304,             0.67424,             0.15027,             0.16861,              0.1232,           0.0050024,           0.0031058,             0.14016,           0.0083622,           0.0083622,           0.0083622
                  10,            0.016837,              0.0188,             0.30854,             0.61823,             0.16967,             0.17272,             0.12024,           0.0057536,           0.0031107,             0.13995,           0.0079595,           0.0079595,           0.0079595
                  11,            0.015327,            0.016775,             0.29814,             0.65921,             0.18768,             0.18952,             0.13936,           0.0053262,           0.0035619,             0.13991,            0.007525,            0.007525,            0.007525
                  12,            0.015262,            0.016065,             0.30367,             0.62644,             0.19311,             0.20733,             0.16125,            0.004646,           0.0038344,              0.1397,           0.0070633,           0.0070633,           0.0070633
                  13,            0.014632,            0.017067,             0.30254,             0.64919,             0.20017,             0.21083,             0.15021,           0.0051946,           0.0037418,             0.13956,           0.0065796,           0.0065796,           0.0065796
                  14,            0.015531,            0.018702,             0.31017,             0.65293,             0.19278,             0.21323,             0.14914,           0.0060744,           0.0035813,             0.13954,           0.0060792,           0.0060792,           0.0060792
                  15,             0.01433,            0.015988,             0.30213,             0.63079,             0.21822,             0.22865,              0.1681,           0.0061555,           0.0041337,              0.1395,           0.0055674,           0.0055674,           0.0055674
                  16,            0.014141,            0.017097,             0.30481,             0.65032,             0.22981,             0.24856,             0.17661,           0.0056262,           0.0038753,             0.13926,             0.00505,             0.00505,             0.00505
                  17,            0.014006,            0.016979,               0.303,             0.70838,             0.19952,             0.24499,             0.17958,           0.0052404,           0.0040348,             0.13916,           0.0045326,           0.0045326,           0.0045326
                  18,            0.013249,            0.016237,             0.30069,             0.61322,             0.24066,              0.2531,             0.17868,           0.0058303,           0.0037339,             0.13907,           0.0040208,           0.0040208,           0.0040208
                  19,             0.01365,             0.01721,             0.30844,             0.65101,             0.23412,                0.26,             0.17527,           0.0061962,           0.0036622,             0.13902,           0.0035204,           0.0035204,           0.0035204
                  20,             0.01278,            0.015117,             0.30045,             0.64604,             0.24581,             0.26341,             0.17907,           0.0058662,           0.0032811,              0.1389,           0.0030367,           0.0030367,           0.0030367
                  21,            0.013071,            0.015627,             0.30714,              0.6327,              0.2558,             0.28563,             0.21431,           0.0051743,           0.0038299,             0.13882,            0.002575,            0.002575,            0.002575
                  22,            0.012508,            0.016278,              0.3019,             0.61959,             0.26598,             0.27902,             0.21024,           0.0044522,           0.0038455,             0.13885,           0.0021405,           0.0021405,           0.0021405
                  23,            0.012341,            0.016636,              0.3014,             0.58462,             0.28457,             0.28989,             0.21398,            0.005436,            0.003993,             0.13878,           0.0017378,           0.0017378,           0.0017378
                  24,            0.012322,            0.014916,              0.3013,             0.59611,             0.27496,             0.29659,              0.2185,           0.0050141,           0.0037343,             0.13862,           0.0013714,           0.0013714,           0.0013714
                  25,            0.011695,            0.013428,             0.29401,             0.62448,             0.27311,             0.29207,             0.22134,           0.0044782,            0.003474,             0.13865,           0.0010454,           0.0010454,           0.0010454
                  26,            0.012029,            0.015931,             0.30578,              0.5976,             0.29455,              0.3057,             0.22649,           0.0050545,           0.0039887,             0.13861,          0.00076317,          0.00076317,          0.00076317
                  27,            0.011722,            0.015068,             0.30333,             0.58876,             0.29275,             0.30321,             0.22194,           0.0051265,           0.0039172,             0.13853,          0.00052795,          0.00052795,          0.00052795
                  28,            0.011609,            0.014814,             0.30054,             0.59302,             0.28934,             0.30655,             0.22481,           0.0052153,           0.0039936,             0.13853,          0.00034227,          0.00034227,          0.00034227
                  29,            0.012314,            0.015851,             0.30943,               0.597,               0.283,             0.30129,              0.2213,           0.0049784,           0.0039085,             0.13849,          0.00020817,          0.00020817,          0.00020817
